,Org_C,NO3,NH4,P,SO4,WHC,col,pch,bg,bg2,Sample,gensampl,sample,samples,site,month,AWCD
S2M1_con,0.9,1.05,17.26,1.86,17.6,29.21,1,21,3,3,control,B,controlM1,M1 Ctrl,S2,one,0.509
S4M1_con,0.86,1.13,13.3,4.26,16,27.46125,1,21,3,3,control,J,controlM1,M1 Ctrl,S4,one,0.596
S5M1_con,1.33,0.87,12.8,0.01,16.5,29.4385714285714,1,21,3,3,control,R,controlM1,M1 Ctrl,S5,one,0.437
S8M1_con,1.13,2.02,11.92,6.49,23.3,27.31,1,21,3,3,control,Z,controlM1,M1 Ctrl,S8,one,0.586
S2M1_ben,0.92,1.33,251.1,51.75,108,29.21,1,21,2,2,beneath,A,beneathM1,M1 Bnth,S2,one,1.588
S4M1_ben,0.69,0.9,278.5,64.37,113,27.46125,1,21,2,2,beneath,I,beneathM1,M1 Bnth,S4,one,0.909
S5M1_ben,1.11,1.88,285.2,36.44,258,29.4385714285714,1,21,2,2,beneath,Q,beneathM1,M1 Bnth,S5,one,0.949
S8M1_ben,1.21,0.93,442.4,63.96,142,27.31,1,21,2,2,beneath,Y,beneathM1,M1 Bnth,S8,one,0.72
S2M6_con,0.81,2.25,10.43,3.42,16.9,29.21,1,22,3,3,control,D,controlM6,M6 Ctrl,S2,six,0.025
S4M6_con,0.83,2.52,9.77,8.31,11,27.46125,1,22,3,3,control,L,controlM6,M6 Ctrl,S4,six,0.097
S5M6_con,0.92,1.62,9.97,1.82,15.8,29.4385714285714,1,22,3,3,control,T,controlM6,M6 Ctrl,S5,six,0.073
S8M6_con,1.15,3.21,13.62,9.59,12.6,27.31,1,22,3,3,control,Ba,controlM6,M6 Ctrl,S8,six,0.022
S2M6_ben,0.92,52.2,304.9,298.8,148,29.21,1,22,2,2,beneath,C,beneathM6,M6 Bnth,S2,six,0.296
S4M6_ben,1.15,101.3,240.2,351.8,64.9,27.46125,1,22,2,2,beneath,K,beneathM6,M6 Bnth,S4,six,0.133
S5M6_ben,0.99,66.8,323.1,276.64,105,29.4385714285714,1,22,2,2,beneath,S,beneathM6,M6 Bnth,S5,six,0.35
S8M6_ben,1.05,99.8,542.8,289.95,291,27.31,1,22,2,2,beneath,Aa,beneathM6,M6 Bnth,S8,six,0.062
S2M12_con,0.95,0.86,8.73,3.33,29.2,29.21,1,24,3,3,control,F,controlM12,M12 Ctrl,S2,twelve,0.399
S4M12_con,0.77,1.7,11.27,2.75,10.1,27.46125,1,24,3,3,control,N,controlM12,M12 Ctrl,S4,twelve,0.107
S5M12_con,1.34,1.2,12.02,0.4,29.7,29.4385714285714,1,24,3,3,control,V,controlM12,M12 Ctrl,S5,twelve,0.138
S8M12_con,1.19,3.46,15.06,9.81,21.1,27.31,1,24,3,3,control,Da,controlM12,M12 Ctrl,S8,twelve,0.178
S2M12_ben,0.86,6.68,29.63,286.2,13.9,29.21,1,24,2,2,beneath,E,beneathM12,M12 Bnth,S2,twelve,0.437
S4M12_ben,1.21,6.57,31.92,123.3,8.08,27.46125,1,24,2,2,beneath,M,beneathM12,M12 Bnth,S4,twelve,0.586
S5M12_ben,1.36,33.3,25.81,232.8,22.8,29.4385714285714,1,24,2,2,beneath,U,beneathM12,M12 Bnth,S5,twelve,0.3
S8M12_ben,1.44,125.1,196.5,328,102,27.31,1,24,2,2,beneath,Ca,beneathM12,M12 Bnth,S8,twelve,0.236
S2M18_con,0.95,1.36,14.39,2.59,23,29.21,1,25,3,3,control,H,controlM18,M18 Ctrl,S2,eighteen,0.05
S4M18_con,0.72,6.4,18.83,6.73,12.6,27.46125,1,25,3,3,control,P,controlM18,M18 Ctrl,S4,eighteen,0.054
S5M18_con,1.1,1.2,7.77,0.94,16.3,29.4385714285714,1,25,3,3,control,X,controlM18,M18 Ctrl,S5,eighteen,0.151
S8M18_con,1.15,4.45,14.86,11.81,27.7,27.31,1,25,3,3,control,Fa,controlM18,M18 Ctrl,S8,eighteen,0.105
S2M18_ben,0.77,10.44,35.32,206.9,11.7,29.21,1,25,2,2,beneath,G,beneathM18,M18 Bnth,S2,eighteen,0.222
S4M18_ben,0.83,9.48,21.22,194.9,13.7,27.46125,1,25,2,2,beneath,O,beneathM18,M18 Bnth,S4,eighteen,0.092
S5M18_ben,0.95,3.62,24.92,235.1,21,29.4385714285714,1,25,2,2,beneath,W,beneathM18,M18 Bnth,S5,eighteen,0.166
S8M18_ben,1.12,42.9,117.9,205.8,67.4,27.31,1,25,2,2,beneath,Ea,beneathM18,M18 Bnth,S8,eighteen,0.164
